config_name,text_length_label,mos
Inflect-Nano,extended,3.3714
Inflect-Nano,long,3.4491
Inflect-Nano,medium,3.8961
Inflect-Nano,paragraph,3.0134
Inflect-Nano,short,4.1496
Inflect-Nano,tiny,3.0249
Kokoro-ONNX,extended,4.4949
Kokoro-ONNX,long,4.5507
Kokoro-ONNX,medium,4.5444
Kokoro-ONNX,paragraph,4.5221
Kokoro-ONNX,short,4.5118
Kokoro-ONNX,tiny,4.036
Kokoro-PyTorch,extended,4.5283
Kokoro-PyTorch,long,4.5436
Kokoro-PyTorch,medium,4.5524
Kokoro-PyTorch,paragraph,4.5261
Kokoro-PyTorch,short,4.5077
Kokoro-PyTorch,tiny,4.0504
Supertonic-2step,extended,1.3528
Supertonic-2step,long,1.4544
Supertonic-2step,medium,1.5798
Supertonic-2step,paragraph,1.3643
Supertonic-2step,short,2.3473
Supertonic-2step,tiny,1.3231
Supertonic-5step,extended,4.1202
Supertonic-5step,long,4.5172
Supertonic-5step,medium,4.5122
Supertonic-5step,paragraph,4.4765
Supertonic-5step,short,4.4679
Supertonic-5step,tiny,4.179
