config_name,text_length_label,text_length_chars,rep,wall_time_sec,audio_duration_sec,rtf,chars_per_sec
Supertonic-2step,tiny,12,1,0.432149,1.393197,0.310185,27.7682
Supertonic-2step,tiny,12,2,0.409736,1.393197,0.294098,29.2871
Supertonic-2step,tiny,12,3,0.424596,1.393197,0.304764,28.2621
Supertonic-2step,tiny,12,4,0.429029,1.393197,0.307946,27.9701
Supertonic-2step,tiny,12,5,0.398406,1.393197,0.285966,30.12
Supertonic-2step,short,59,1,0.719877,4.249252,0.169413,81.9585
Supertonic-2step,short,59,2,0.715586,4.249252,0.168403,82.4499
Supertonic-2step,short,59,3,0.74716,4.249252,0.175833,78.9657
Supertonic-2step,short,59,4,0.728625,4.249252,0.171471,80.9745
Supertonic-2step,short,59,5,0.723603,4.249252,0.170289,81.5365
Supertonic-2step,medium,196,1,1.842173,13.653333,0.134925,106.3961
Supertonic-2step,medium,196,2,1.790838,13.653333,0.131165,109.446
Supertonic-2step,medium,196,3,1.816324,13.653333,0.133032,107.9103
Supertonic-2step,medium,196,4,1.838484,13.653333,0.134655,106.6096
Supertonic-2step,medium,196,5,1.821498,13.653333,0.13341,107.6038
Supertonic-2step,long,483,1,4.415968,34.085034,0.129557,109.3758
Supertonic-2step,long,483,2,4.376814,34.085034,0.128409,110.3542
Supertonic-2step,long,483,3,4.401337,34.085034,0.129128,109.7394
Supertonic-2step,long,483,4,4.369769,34.085034,0.128202,110.5322
Supertonic-2step,long,483,5,4.400239,34.085034,0.129096,109.7668
Supertonic-2step,paragraph,851,1,8.223401,62.54898,0.131471,103.4852
Supertonic-2step,paragraph,851,2,8.059003,62.54898,0.128843,105.5962
Supertonic-2step,paragraph,851,3,8.062752,62.54898,0.128903,105.5471
Supertonic-2step,paragraph,851,4,8.10129,62.54898,0.129519,105.045
Supertonic-2step,paragraph,851,5,8.105975,62.54898,0.129594,104.9843
Supertonic-2step,extended,1712,1,15.367538,120.430748,0.127605,111.4037
Supertonic-2step,extended,1712,2,15.483665,120.430748,0.128569,110.5681
Supertonic-2step,extended,1712,3,15.3871,120.430748,0.127767,111.262
Supertonic-2step,extended,1712,4,15.375158,120.430748,0.127668,111.3484
Supertonic-2step,extended,1712,5,15.324495,120.430748,0.127247,111.7166
Supertonic-5step,tiny,12,1,0.716442,1.393197,0.514243,16.7494
Supertonic-5step,tiny,12,2,0.682154,1.393197,0.489632,17.5913
Supertonic-5step,tiny,12,3,0.694228,1.393197,0.498299,17.2854
Supertonic-5step,tiny,12,4,0.723724,1.393197,0.51947,16.5809
Supertonic-5step,tiny,12,5,0.700803,1.393197,0.503018,17.1232
